frame,type,x,y
50,PowerUp-SpeedUp,200,0
150,Alien1,550,0
200,Alien1,300,0
250,Alien2,250,0
300,Alien1,100,0
330,PowerUp-SpeedUp,350,0
380,Alien1,200,0
410,Alien2,400,0
440,Alien1,50,0
470,Alien2,550,0
500,PowerUp-MultiShot,280,0
550,Alien2,150,0
580,Alien1,350,0
610,Alien2,300,0
640,Alien1,200,0
670,Alien2,500,0
700,Alien1,250,0
730,Alien2,100,0
760,PowerUp-SpeedUp,400,0
800,Alien1,450,0
830,Alien2,200,0
860,Alien1,350,0
890,Alien2,100,0
920,PowerUp-MultiShot,300,0
950,Alien1,500,0
980,Alien2,150,0
1010,Alien1,400,0
1040,Alien2,250,0
1070,PowerUp-SpeedUp,350,0
1100,Alien1,180,0
1130,Alien2,480,0
1160,Alien1,320,0
1190,Alien2,120,0
1220,PowerUp-MultiShot,400,0
1250,Alien1,220,0
1280,Alien2,380,0
1310,Alien1,160,0
1340,Alien2,460,0
1370,PowerUp-SpeedUp,280,0
1400,Alien1,340,0
1430,Alien2,140,0
1460,Alien1,440,0
1490,Alien2,240,0
1520,PowerUp-MultiShot,360,0
1550,Alien1,190,0
1580,Alien2,390,0
1610,Alien1,290,0
1640,Alien2,490,0
1670,PowerUp-SpeedUp,320,0
1700,Alien1,420,0
1730,Alien2,220,0
1760,Alien1,370,0
1790,Alien2,170,0
1820,PowerUp-MultiShot,450,0
1850,Alien1,270,0
1880,Alien2,470,0
1910,Alien1,120,0
1940,Alien2,420,0
1970,PowerUp-SpeedUp,300,0
2000,Alien1,350,0
2030,Alien2,150,0
2060,Alien1,450,0
2090,Alien2,250,0
2120,PowerUp-MultiShot,380,0
2150,Alien1,180,0
2180,Alien2,480,0
2210,Alien1,280,0
2240,Alien2,380,0
2270,PowerUp-SpeedUp,350,0
2300,Alien1,200,0
2330,Alien2,500,0
2360,Alien1,300,0
2390,Alien2,100,0
2420,PowerUp-MultiShot,400,0
2450,Alien1,150,0
2480,Alien2,450,0
2510,Alien1,250,0
2540,Alien2,350,0
2570,PowerUp-SpeedUp,300,0
2600,Alien1,400,0
2630,Alien2,200,0
2660,Alien1,500,0
2690,Alien2,300,0
2720,PowerUp-MultiShot,350,0
2750,Alien1,250,0
2780,Alien2,450,0
2810,Alien1,150,0
2840,Alien2,350,0
2870,PowerUp-SpeedUp,400,0
2900,Alien1,300,0
2930,Alien2,100,0
2960,Alien1,500,0
2990,Alien2,200,0
3020,PowerUp-MultiShot,350,0
3050,Alien1,400,0
3080,Alien2,150,0
3110,Alien1,450,0
3140,Alien2,250,0
3170,PowerUp-SpeedUp,300,0
3200,Alien1,350,0
3230,Alien2,450,0
3260,Alien1,180,0
3290,Alien2,380,0
3320,PowerUp-MultiShot,280,0
3350,Alien1,480,0
3380,Alien2,280,0
3410,Alien1,380,0
3440,Alien2,180,0
3470,PowerUp-SpeedUp,400,0
3500,Alien1,200,0
3530,Alien2,500,0
3560,Alien1,300,0
3590,Alien2,100,0
3620,PowerUp-MultiShot,350,0
3650,Alien1,450,0
3680,Alien2,250,0
3710,Alien1,350,0
3740,Alien2,150,0
3770,PowerUp-SpeedUp,400,0
3800,Alien1,300,0
3830,Alien2,200,0
3860,Alien1,500,0
3890,Alien2,400,0
3920,PowerUp-MultiShot,300,0
3950,Alien1,150,0
3980,Alien2,450,0
4010,Alien1,250,0
4040,Alien2,350,0
4070,PowerUp-SpeedUp,400,0
4100,Alien1,200,0
4130,Alien2,300,0
4160,Alien1,400,0
4190,Alien2,500,0
4220,PowerUp-MultiShot,250,0
4250,Alien1,350,0
4280,Alien2,150,0
4310,Alien1,450,0
4340,Alien2,250,0
4370,PowerUp-SpeedUp,350,0
4400,Alien1,300,0
4430,Alien2,400,0
4460,Alien1,200,0
4490,Alien2,500,0
4520,PowerUp-MultiShot,300,0
4550,Alien1,450,0
4580,Alien2,150,0
4610,Alien1,350,0
4640,Alien2,250,0
4670,PowerUp-SpeedUp,400,0
4700,Alien1,180,0
4730,Alien2,480,0
4760,Alien1,280,0
4790,Alien2,380,0
4820,PowerUp-MultiShot,350,0
4850,Alien1,220,0
4880,Alien2,420,0
4910,Alien1,320,0
4940,Alien2,120,0
4970,PowerUp-SpeedUp,300,0
5000,Alien1,400,0
5030,Alien2,200,0
5060,Alien1,500,0
5090,Alien2,300,0
5120,PowerUp-MultiShot,400,0
5150,Alien1,150,0
5180,Alien2,450,0
5210,Alien1,250,0
5240,Alien2,350,0
5270,PowerUp-SpeedUp,300,0
5300,Alien1,200,0
5330,Alien2,500,0
5360,Alien1,400,0
5390,Alien2,100,0
5420,PowerUp-MultiShot,350,0
5450,Alien1,300,0
5480,Alien2,150,0
5510,Alien1,450,0
5540,Alien2,250,0
5570,PowerUp-SpeedUp,400,0
5600,Alien1,300,0
5650,Alien2,150,0
5700,Alien1,450,0
5750,Alien2,250,0
5800,PowerUp-MultiShot,350,0
5850,Alien1,200,0
5900,Alien2,500,0
5950,Alien1,400,0
6000,PowerUp-SpeedUp,300,0
6050,Alien2,100,0
6100,Alien1,350,0
6150,Alien2,450,0
6200,Alien1,250,0
6250,PowerUp-MultiShot,400,0
6300,Alien2,150,0
6350,Alien1,300,0
6400,Alien2,500,0
6450,Alien1,200,0
6500,PowerUp-SpeedUp,350,0
6550,Alien2,400,0
6600,Alien1,150,0
6650,Alien2,350,0
6700,Alien1,450,0
6750,PowerUp-MultiShot,250,0
6800,Alien2,300,0
6850,Alien1,400,0
6900,Alien2,200,0
6950,Alien1,500,0
7000,PowerUp-SpeedUp,300,0
7050,Alien2,150,0
7100,Alien1,450,0
7150,Alien2,350,0
7200,Alien1,250,0
7250,PowerUp-MultiShot,400,0
7300,Alien2,100,0
7350,Alien1,300,0
7400,Alien2,500,0
7450,Alien1,200,0
7500,PowerUp-SpeedUp,350,0
7550,Alien2,450,0
7600,Alien1,150,0
7650,Alien2,300,0
7700,Alien1,400,0
7750,PowerUp-MultiShot,250,0
7800,Alien2,350,0
7850,Alien1,200,0
7900,Alien2,500,0
7950,Alien1,300,0
8000,PowerUp-SpeedUp,400,0
8050,Alien2,150,0
8100,Alien1,450,0
8150,Alien2,250,0
8200,Alien1,350,0
8250,PowerUp-MultiShot,300,0
8300,Alien2,200,0
8350,Alien1,500,0
8400,Alien2,400,0
8450,Alien1,150,0
8500,PowerUp-SpeedUp,350,0
8550,Alien2,300,0
8600,Alien1,250,0
8650,Alien2,450,0
8700,Alien1,200,0
8750,PowerUp-MultiShot,400,0
8800,Alien2,350,0
8850,Alien1,150,0
8900,Alien2,500,0
8950,Alien1,300,0
9000,PowerUp-SpeedUp,250,0
9050,Alien2,400,0
9100,Alien1,200,0
9150,Alien2,350,0
9200,Alien1,450,0
9250,PowerUp-MultiShot,300,0
9300,Alien2,150,0
9350,Alien1,500,0
9400,Alien2,250,0
9450,Alien1,400,0
9500,PowerUp-SpeedUp,350,0
9550,Alien2,200,0
9600,Alien1,300,0
9650,Alien2,450,0
9700,Alien1,150,0
9750,PowerUp-MultiShot,400,0
9800,Alien2,350,0
9850,Alien1,250,0
9900,Alien2,500,0
9950,Alien1,300,0
10000,PowerUp-SpeedUp,200,0
10100,Alien1,400,0
10150,Alien2,150,0
10200,Alien1,350,0
10250,Alien2,250,0
10300,PowerUp-MultiShot,450,0
10350,Alien1,200,0
10400,Alien2,500,0
10450,Alien1,300,0
10500,PowerUp-SpeedUp,350,0
10550,Alien2,150,0
10600,Alien1,450,0
10650,Alien2,250,0
10700,Alien1,400,0
10750,PowerUp-MultiShot,300,0
10800,Alien2,200,0
10850,Alien1,500,0
10900,Alien2,350,0
10950,Alien1,150,0
11000,PowerUp-SpeedUp,400,0
11050,Alien2,300,0
11100,Alien1,250,0
11150,Alien2,450,0
11200,Alien1,200,0
11250,PowerUp-MultiShot,350,0
11300,Alien2,150,0
11350,Alien1,500,0
11400,Alien2,300,0
11450,Alien1,400,0
11500,PowerUp-SpeedUp,250,0
11550,Alien2,350,0
11600,Alien1,200,0
11650,Alien2,450,0
11700,Alien1,300,0
11750,PowerUp-MultiShot,400,0
11800,Alien2,150,0
11850,Alien1,350,0
