frame,type,x,y
120,PowerUp-SpeedUp,300,0
200,Alien1,200,0
320,Alien1,400,0
440,Alien2,100,0
560,Alien1,500,0
680,PowerUp-SpeedUp,250,0
800,Alien2,350,0
920,Alien1,150,0
1040,Alien1,450,0
1160,PowerUp-MultiShot,300,0
1280,Alien2,200,0
1400,Alien1,400,0
1520,Alien2,300,0
1640,PowerUp-SpeedUp,350,0
1760,Alien1,100,0
1880,Alien2,500,0
2000,Alien1,250,0
2120,PowerUp-MultiShot,400,0
2240,Alien2,150,0
2360,Alien1,350,0
2480,Alien1,200,0
2600,PowerUp-SpeedUp,300,0
2720,Alien2,450,0
2840,Alien1,100,0
2960,Alien2,300,0
3080,PowerUp-MultiShot,250,0
3200,Alien1,400,0
3320,Alien2,200,0
3440,Alien1,500,0
3560,PowerUp-SpeedUp,350,0
3680,Alien2,150,0
3800,Alien1,300,0
3920,Alien1,450,0
4040,PowerUp-MultiShot,200,0
4160,Alien2,350,0
4280,Alien1,250,0
4400,Alien2,400,0
4520,PowerUp-SpeedUp,300,0
4640,Alien1,150,0
4760,Alien2,500,0
4880,Alien1,200,0
5000,PowerUp-MultiShot,350,0
5120,Alien2,300,0
5240,Alien1,450,0
5360,Alien1,100,0
5480,PowerUp-SpeedUp,400,0
5600,Alien2,250,0
5720,Alien1,350,0
5840,Alien2,200,0
6000,Alien1,300,0
