frame,type,x,y
90,Alien1,300,0
180,Alien2,200,0
270,PowerUp-SpeedUp,400,0
360,Alien1,150,0
450,Alien2,450,0
540,Alien1,300,0
630,PowerUp-MultiShot,250,0
720,Alien2,350,0
810,Alien1,500,0
900,Alien2,200,0
990,PowerUp-SpeedUp,400,0
1080,Alien1,250,0
1170,Alien2,350,0
1260,Alien1,150,0
1350,PowerUp-MultiShot,450,0
1440,Alien2,300,0
1530,Alien1,500,0
1620,Alien2,200,0
1710,PowerUp-SpeedUp,350,0
1800,Alien1,400,0
1890,Alien2,150,0
1980,Alien1,300,0
2070,PowerUp-MultiShot,250,0
2160,Alien2,450,0
2250,Alien1,200,0
2340,Alien2,350,0
2430,PowerUp-SpeedUp,500,0
2520,Alien1,300,0
2610,Alien2,150,0
2700,Alien1,400,0
2790,PowerUp-MultiShot,250,0
2880,Alien2,450,0
2970,Alien1,200,0
3060,Alien2,350,0
3150,PowerUp-SpeedUp,300,0
3240,Alien1,500,0
3330,Alien2,150,0
3420,Alien1,400,0
3510,PowerUp-MultiShot,450,0
3600,Alien2,250,0
3690,Alien1,350,0
3780,Alien2,200,0
3870,PowerUp-SpeedUp,400,0
3960,Alien1,300,0
4050,Alien2,500,0
4140,Alien1,150,0
4230,PowerUp-MultiShot,350,0
4320,Alien2,400,0
4410,Alien1,250,0
4500,Alien2,450,0
4590,PowerUp-SpeedUp,200,0
4680,Alien1,350,0
4770,Alien2,300,0
4860,Alien1,500,0
4950,PowerUp-MultiShot,250,0
5040,Alien2,400,0
5130,Alien1,150,0
5220,Alien2,450,0
5310,PowerUp-SpeedUp,350,0
5400,Alien1,300,0
5490,Alien2,200,0
5580,Alien1,500,0
5670,PowerUp-MultiShot,400,0
5760,Alien2,250,0
5850,Alien1,350,0
5940,Alien2,450,0
